label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2', 'ttd_u'];['zeta1', 'zeta2', 'kA'];nan;False;False;-37355499.34542668;False;False;360318.95596860116;False;False;103.67342246818096;False;False;50.00000000038142;True;False;186.4471815703763;False;False;0.99;True;False;0.9800000000000001;True;False;0.010374694810004328;False;False;10439.503967506333;False;False;0x0000020208BFA088;False;m;0x000002023D31F108;False;m;-42759.50411054142;False;52929.85506170474;False;10170.350951163316;False;nan;False
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-43086003.06180947;False;False;577876.2337496916;False;False;74.55922314408983;False;False;186.4471815703763;False;False;19.999999999999773;True;False;0.99;True;False;1.0;False;False;0.012364142542773753;False;False;0.0;False;False;0x0000020229637B08;False;m;0x0000020229637588;False;m;-60351.09955524203;False;71148.37584045943;False;10797.276285217398;False;nan;False
economizer;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-52120509.256280474;False;False;1064116.5912523272;False;False;48.98007387981931;False;False;19.999999999999773;False;False;97.68132606579996;False;False;0.9900000000000001;True;False;1.0;True;False;0.0165193691916272;False;False;0.0;False;False;0x000002024DBB03C8;False;m;0x000002024DBB0B48;False;m;-100734.4083949266;False;114430.72266752279;False;13696.31427259618;False;nan;False
