label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;flow_char;flow_char_set;flow_char_param;Sirr;Sirr_set
feed water pump 1;pump;['power output'];[None];[286099.4884775161];['0x0000026C99763B08'];['eta_s'];['eta_s_char'];cet_design_maxQ;False;True;270812.23589873733;False;False;0.2308023203662305;False;False;296.1330043762675;False;False;0x0000026C96036308;True;m;0x0000026C99782B48;False;nan;582.0972204152885;False
feed water pump 2;pump;['power output'];[None];[601472.1433998796];['0x0000026C99763E88'];['eta_s'];['eta_s_char'];nan;False;False;601472.1433998796;False;False;0.8000000000013878;True;False;2380.3980766011073;False;False;0x0000026C96036488;False;m;0x0000026C99782708;False;nan;389.6642696107144;False
