label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2', 'ttd_u'];['zeta1', 'zeta2', 'kA'];nan;False;False;-39265502.199662425;False;False;387929.11187762616;False;False;101.21824064611292;False;False;50.00000000038142;True;False;179.20691377532717;False;False;0.99;True;False;0.9800000000000001;True;False;0.010418709336038912;False;False;9448.582147409159;False;False;0x0000020208BFA088;False;m;0x000002023D31F108;False;m;-45182.12941129304;False;55636.18146647575;False;10454.052055182707;False;nan;False
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-41176000.207572505;False;False;567130.4956229667;False;False;72.60410174618201;False;False;179.20691377532717;False;False;19.999999999999773;True;False;0.99;True;False;1.0;False;False;0.01242734207136175;False;False;0.0;False;False;0x0000020229637B08;False;m;0x0000020229637588;False;m;-57928.474254489185;False;67994.36778047179;False;10065.893525982603;False;nan;False
economizer;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-52120509.33889873;False;False;1465676.2689435438;False;False;35.56072404478997;False;False;19.999999999999773;False;False;57.64124033391863;False;False;0.9900000000000001;True;False;1.0;True;False;0.016519369191627588;False;False;0.0;False;False;0x000002024DBB03C8;False;m;0x000002024DBB0B48;False;m;-100734.40839492521;False;106967.42905714613;False;6233.0206622209225;False;nan;False
