label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
compressor;compressor;['power output', 'gas turbine power output'];[None, None];[278327517.6211641, 278327517.6211641];['0x0000015D87932548', '0x0000015D87940348'];['pr', 'eta_s'];['eta_s_char'];nan;False;False;278327517.6211641;False;False;0.849999999999997;True;False;15.0;True;False;0;False;False;0x0000015D8795D448;False;nan;0x0000015D87943908;False;m;63675.56987319019;False
fuel compressor;compressor;['power output'];[None];[10659733.469246412];['0x0000015D87925888'];['eta_s'];['eta_s_char'];nan;False;False;10659733.469246412;False;False;0.8500000000023139;True;False;15.0;False;False;0;False;False;0x0000015D8795D9C8;False;nan;0x0000015D87943348;False;m;3021.3305390782284;False
