label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;cone;cone_set;Sirr;Sirr_set
gas turbine;turbine;['power output', 'gas turbine power output'];[None, None];[-190012717.6175649, -190012717.6175649];['0x0000014A54A86F08', '0x0000014A4D160BC8'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-190012717.6175649;False;False;0.9000000000000214;True;False;0.07008149034472878;False;False;0x0000014A542C6248;False;m;nan;False;23674.99552218052;False
steam turbine high pressure;turbine;['power output'];[None];[-42459922.53019381];['0x0000014A54A86E08'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-42459922.53019381;False;False;0.8799999999999988;True;False;0.006508343563037239;False;False;0x0000014A520F8908;False;m;nan;False;15727.25637901822;False
steam turbine low pressure;turbine;['power output'];[None];[-2700517.2010173127];['0x0000014A54A86948'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-2700517.2010173127;False;False;0.8799999999999877;True;False;0.06653017542548588;False;False;0x0000014A520F8E48;False;m;nan;False;1195.0424974632906;False
