id;source;source_id;target;target_id;label;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x000001313B857148;drum;out2;superheater;in2;drum:out2_superheater:in2;[];[];nan;False;False;74.60659530458187;kg / s;74.60659530458187;False;nan;nan;nan;False;4.567005517024762;bar;4.567005517024762;False;nan;nan;nan;False;1609.222537194247;kJ / kg;1609.222537194247;False;nan;nan;nan;False;1.6691794820288237;C;nan;False;nan;nan;nan;False;0.9999999999999993;-;nan;False;nan;nan;nan;False;20.354166007780034;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001313E598148;ambient air;out1;pump;in1;ambient air:out1_pump:in1;[];['v'];nan;False;False;5576.515623227981;kg / s;5576.515623227981;False;nan;nan;nan;False;1.0000000000000022;bar;1.0000000000000022;True;nan;nan;nan;False;33.723857287104124;kJ / kg;33.723857287104124;False;nan;nan;nan;False;8.000000000236014;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;5.577350129444281;m3 / s;nan;True;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x000001313E3C6388;pump;out1;splitter;in1;pump:out1_splitter:in1;[];[];nan;False;False;5576.515623227981;kg / s;5576.515623227981;False;nan;nan;nan;False;1.0412329700350278;bar;1.0412329700350278;False;nan;nan;nan;False;33.72935583383914;kJ / kg;33.72935583383914;False;nan;nan;nan;False;8.000344077490752;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;5.577339134410548;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001313F240E48;splitter;out1;superheater;in1;splitter:out1_superheater:in1;[];['v'];nan;False;False;3519.6672104846753;kg / s;3519.6672104846753;False;nan;nan;nan;False;1.0412329700350278;bar;1.0412329700350278;False;nan;nan;nan;False;33.72935583383914;kJ / kg;33.72935583383914;False;nan;nan;nan;False;8.000344077490752;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;3.520186976858981;m3 / s;nan;True;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001313F240448;superheater;out1;evaporator;in1;superheater:out1_evaporator:in1;[];[];nan;False;False;3519.6672104846753;kg / s;3519.6672104846753;False;nan;nan;nan;False;1.0204082968475543;bar;1.0204082968475543;False;nan;nan;nan;False;33.44483815447994;kJ / kg;33.44483815447994;False;nan;nan;nan;False;7.933068849899087;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;3.5201763272012694;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001313F240A48;evaporator;out1;sink ambient 1;in1;evaporator:out1_sink ambient 1:in1;['T'];[];nan;False;False;3519.6672104846753;kg / s;3519.6672104846753;False;nan;nan;nan;False;1.0000000000001295;bar;1.0000000000001295;True;nan;nan;nan;False;21.900097593555845;kJ / kg;21.900097593555845;False;nan;nan;nan;False;5.185846414769117;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;3.51979837480306;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x0000013139FCB3C8;superheater;out2;compressor 1;in1;superheater:out2_compressor 1:in1;[];[];nan;False;False;74.60659530458187;kg / s;74.60659530458187;False;nan;nan;nan;False;4.529613758696004;bar;4.529613758696004;False;nan;nan;nan;False;1622.645044182477;kJ / kg;1622.645044182477;False;nan;nan;nan;False;6.5398924346745275;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;21.025646025177252;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;g;True;1;1;False;0;0;False;0;0;False;False
0x000001313D271D08;compressor 1;out1;intercooler;in1;compressor 1:out1_intercooler:in1;[];[];nan;False;False;74.60659530458187;kg / s;74.60659530458187;False;nan;nan;nan;False;33.55385837801806;bar;33.55385837801806;False;nan;nan;nan;False;1978.8848792309786;kJ / kg;1978.8848792309786;False;nan;nan;nan;False;179.19133008955004;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;4.534661627059682;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001313EA86FC8;intercooler;out1;compressor 2;in1;intercooler:out1_compressor 2:in1;['Td_bp'];[];nan;False;False;74.60659530458187;kg / s;74.60659530458187;True;nan;nan;nan;False;33.440649091822884;bar;33.440649091822884;False;nan;nan;nan;False;1648.6916938705886;kJ / kg;1648.6916938705886;False;nan;nan;nan;False;74.58416819734276;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;2.891862822677818;m3 / s;nan;False;nan;nan;nan;False;5.0;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001313E829BC8;splitter;out2;intercooler;in2;splitter:out2_intercooler:in2;[];[];nan;False;False;2056.848412743307;kg / s;2056.848412743307;False;nan;nan;nan;False;1.041232970035028;bar;1.041232970035028;False;nan;nan;nan;False;33.72935583383914;kJ / kg;33.72935583383914;False;nan;nan;nan;False;8.000344077490752;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;2.057152157551567;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001313E829708;intercooler;out2;sink ambient 2;in1;intercooler:out2_sink ambient 2:in1;['T'];[];nan;False;False;2056.848412743306;kg / s;2056.848412743306;False;nan;nan;nan;False;1.020407479996023;bar;1.020407479996023;False;nan;nan;nan;False;45.706217716265;kJ / kg;45.706217716265;False;nan;nan;nan;False;10.855082437008662;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;2.0576245794172268;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001313E9873C8;compressor 2;out1;coolant cycle closer;in1;compressor 2:out1_coolant cycle closer:in1;[];[];nan;False;False;74.60659530458187;kg / s;74.60659530458187;False;nan;nan;nan;False;100.32194727546856;bar;100.32194727546856;False;nan;nan;nan;False;1824.9045550741196;kJ / kg;1824.9045550741196;False;nan;nan;nan;False;178.37160748825056;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;1.2240844566670401;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
