label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
fan;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;13376.490562537945;False;False;0.7137333644348238;False;False;1.005;True;False;0;False;False;0x00000259FAB944C8;False;nan;0x00000259FD1FCD08;True;m;12.864514159100374;False
compressor 1;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;9034.972731705533;False;False;0.7601187387753999;False;False;1.5091933148428385;False;False;0;False;False;0x00000259FD1FC988;False;nan;0x00000259FDFA1C88;True;m;6.601135161241927;False
compressor 2;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;40493.128514818505;False;False;0.7601187387753909;False;False;4.999999999999994;True;False;0;False;False;0x00000259FDF9DA88;False;nan;0x00000259FDFA1C88;True;m;21.301167108046673;False
