,1.05,1.0,0.9,0.8,0.7,0.6
120,-12491818.019168256,-11968455.143851483,-10919365.898687543,-9857342.238084815,-8777653.703261493,-7612509.232046497
110,-12317752.08127702,-11798985.172763783,-10761501.90433658,-9710815.294842571,-8645301.21448052,-7486002.941778172
100,-12144985.05095694,-11631623.039345302,-10603373.609811807,-9564197.437073339,-8511308.193690883,-7348255.515431438
95,-12059944.857499784,-11548451.199176038,-10525493.827134643,-9492117.48693627,-8444530.409141185,-7275562.326101994
90,-11975599.915868642,-11466712.600156179,-10448780.196203258,-9420082.930879036,-8379265.174324183,-7223325.442422786
85,-11893058.106472693,-11386704.585990459,-10373236.83595908,-9349984.237951977,-8314782.223050354,-7155385.53787312
80,-11813037.329784775,-11308547.89175082,-10299764.018009353,-9281363.434748597,-8251834.719172567,-7093246.456603575
75,-11740810.591830675,-11236020.110360568,-10228536.590168903,-9215074.731987046,-8190529.504353207,-7027038.2934943875
70,-11682718.088565603,-11179433.664670747,-10173485.536848752,-9159516.095117338,-8135728.923798272,-6962997.205608983
