,1.05,1.0,0.9,0.8,0.7,0.6
90,78836734.08249958,74999999.99999666,67337472.23157012,59934645.28021327,52732469.87391934,45352680.00740846
85,80396989.20667008,76475482.2888569,68656089.09797238,61066947.833658,53736244.110436246,46230045.530937105
80,81975519.92563058,77956297.54182254,69951000.36191209,62196080.78519969,54716479.89161732,47071776.525376864
75,83575978.09933107,79419045.06953502,71244143.95861661,63313547.65495799,55678392.934880026,47921234.98239561
70,84997781.30866344,80894281.68855989,72517164.46438685,64425698.759762354,56622728.64161989,48702072.278825715
65,86358772.84936038,82277187.6132685,73771893.95014957,65514257.195466205,57554108.0335541,49463764.48087907
60,87447956.73645207,83361386.19463144,74893729.43835275,66548811.37524807,58459734.439352386,50197581.90478057
