label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x000002DCE864D348'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-43565726.89686736;False;False;0.8995500000000023;False;False;0x000002DCE87E6F88;True;m;0.10075921436523892;False;False;nan;True;9707.823509234973;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x000002DCE86547C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-23487076.296800643;False;False;0.8995754110780652;False;False;0x000002DCE87F6048;True;m;0.11484476718062785;False;False;nan;True;7010.8650244437695;False
