;WOZ;Global;Direkt;Diffus
319939;2016-07-30 20:00:00;25.0;5.555555555555554;19.444444444444446
319940;2016-07-30 21:00:00;0.0;0.0;0.0
319941;2016-07-30 22:00:00;0.0;0.0;0.0
319942;2016-07-30 23:00:00;0.0;0.0;0.0
319943;2016-07-31 00:00:00;0.0;0.0;0.0
319944;2016-07-31 01:00:00;0.0;0.0;0.0
319945;2016-07-31 02:00:00;0.0;0.0;0.0
319946;2016-07-31 03:00:00;0.0;0.0;0.0
319947;2016-07-31 04:00:00;0.0;0.0;0.0
319948;2016-07-31 05:00:00;19.444444444444446;0.0;19.444444444444446
319949;2016-07-31 06:00:00;77.77777777777779;8.333333333333343;69.44444444444444
319950;2016-07-31 07:00:00;105.55555555555556;2.7777777777777715;102.77777777777779
319951;2016-07-31 08:00:00;152.77777777777777;8.333333333333314;144.44444444444446
319952;2016-07-31 09:00:00;83.33333333333334;2.7777777777777857;80.55555555555556
319953;2016-07-31 10:00:00;150.0;2.7777777777777715;147.22222222222223
319954;2016-07-31 11:00:00;194.44444444444446;5.555555555555571;188.88888888888889
319955;2016-07-31 12:00:00;236.11111111111111;5.555555555555543;230.55555555555557
319956;2016-07-31 13:00:00;344.44444444444446;33.333333333333314;311.11111111111114
319957;2016-07-31 14:00:00;422.22222222222223;66.66666666666669;355.55555555555554
319958;2016-07-31 15:00:00;438.8888888888889;175.0;263.8888888888889
319959;2016-07-31 16:00:00;372.22222222222223;177.77777777777777;194.44444444444446
319960;2016-07-31 17:00:00;300.0;122.22222222222223;177.77777777777777
319961;2016-07-31 18:00:00;302.77777777777777;163.88888888888889;138.88888888888889
319962;2016-07-31 19:00:00;133.33333333333334;77.77777777777779;55.55555555555556
319963;2016-07-31 20:00:00;13.88888888888889;2.7777777777777786;11.11111111111111
319964;2016-07-31 21:00:00;0.0;0.0;0.0
319965;2016-07-31 22:00:00;0.0;0.0;0.0
319966;2016-07-31 23:00:00;0.0;0.0;0.0
319967;2016-08-01 00:00:00;0.0;0.0;0.0
