;Datum;Global;Direkt;Diffus;Reflekt
79;2016-01-04 07:00:00;0.0;-0.0;0.0;0.0
80;2016-01-04 08:00:00;0.0;0.0;0.0;0.0
81;2016-01-04 09:00:00;21.715069355660482;12.861277113894218;8.704931579304526;0.14886066246173477
82;2016-01-04 10:00:00;42.062673845056686;0.0;41.46723119520975;0.5954426498469391
83;2016-01-04 11:00:00;105.6229136105022;8.77762300474581;95.46832947798535;1.3769611277710467
84;2016-01-04 12:00:00;189.7464097929577;70.53819688300706;117.42188496040983;1.7863279495408175
85;2016-01-04 13:00:00;251.77760819543195;137.08961770769858;112.79001704134627;1.8979734463871187
86;2016-01-04 14:00:00;102.08811875243103;40.80390531486789;60.35383429717729;0.9303791403858424
87;2016-01-04 15:00:00;54.69817469318467;27.777777777777786;26.51103009363711;0.40936682176977063
88;2016-01-04 16:00:00;7.88675134594813;-0.0;7.775105849101829;0.1116454968463011
89;2016-01-04 17:00:00;0.0;0.0;0.0;0.0
90;2016-01-04 18:00:00;0.0;0.0;0.0;0.0
91;2016-01-04 19:00:00;0.0;0.0;0.0;0.0
92;2016-01-04 20:00:00;0.0;0.0;0.0;0.0
93;2016-01-04 21:00:00;0.0;0.0;0.0;0.0
94;2016-01-04 22:00:00;0.0;0.0;0.0;0.0
95;2016-01-04 23:00:00;0.0;0.0;0.0;0.0
96;2016-01-05 00:00:00;0.0;0.0;0.0;0.0
97;2016-01-05 01:00:00;0.0;0.0;0.0;0.0
98;2016-01-05 02:00:00;0.0;0.0;0.0;0.0
99;2016-01-05 03:00:00;0.0;0.0;0.0;0.0
100;2016-01-05 04:00:00;0.0;0.0;0.0;0.0
101;2016-01-05 05:00:00;0.0;0.0;0.0;0.0
102;2016-01-05 06:00:00;0.0;0.0;0.0;0.0
103;2016-01-05 07:00:00;0.0;-0.0;0.0;0.0
104;2016-01-05 08:00:00;0.0;0.0;0.0;0.0
105;2016-01-05 09:00:00;7.88675134594813;0.0;7.775105849101829;0.1116454968463011
106;2016-01-05 10:00:00;161.86533700680317;114.74144531213464;46.15629738866726;0.9675943060012762
107;2016-01-05 11:00:00;363.4247190385055;296.66821623358925;64.8213141929137;1.9351886120025523
