label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;subcooling;subcooling_set;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
preheater;condenser;[];[];[];[];[];['pr2', 'ttd_u', 'ttd_l'];['zeta2', 'kA_char'];nan;False;False;-25445102.103569105;False;False;972240.619951226;False;False;26.171609765538904;False;False;4.999999999803322;False;False;76.33620244848908;False;False;0.9900000000000002;True;False;0.99;False;False;777.5774626897779;False;False;17564.04097970175;True;False;False;False;nan;True;0x000002DCE87E6408;False;m;0x000002DCE87E6FC8;False;m;-55939.1856572795;False;61887.172437786954;False;5947.986780507454;False
condenser;condenser;['heat'];[None];[-156053105.72938433];['0x000002DCE865BEC8'];['component'];['pr2', 'ttd_u'];['zeta2', 'kA_char'];nan;False;False;-156053105.72938654;False;False;5740107.8308036635;False;False;27.186441497134346;False;False;12.000000000007503;False;False;51.71515707496974;False;False;0.9900000000000007;True;False;0.9900000000000068;False;False;0.2973334279692622;False;False;13.895125036460389;True;False;False;False;nan;True;0x000002DCE87F60C8;False;m;0x000002DCE87F6088;False;m;-415975.07390996354;False;455285.14341265836;False;39310.06950269482;False
