label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x000002DCE864D348'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-48235598.465751514;False;False;0.8999999999999945;False;False;0x000002DCE87E6F88;True;m;0.10000000000000164;False;False;nan;True;10726.45340496513;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x000002DCE86547C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-26406555.614061598;False;False;0.8999999999999958;False;False;0x000002DCE87F6048;True;m;0.10887383095160967;False;False;nan;True;7821.036211903954;False
