label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
fan;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;30294.31097389872;False;False;0.49690379706464743;False;False;1.005;True;False;0;False;False;0x000002701315AA88;False;nan;0x000002701303B348;True;m;51.180573191008186;False
compressor 1;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;7121.580522836959;False;False;0.7605836803578824;False;False;1.3879372725007233;False;False;0;False;False;0x00000270144FD5C8;False;nan;0x0000027011B23608;True;m;5.291291076294263;False
compressor 2;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;40422.59181321663;False;False;0.7605836803579135;False;False;5.000000000000003;True;False;0;False;False;0x0000027011A2B308;False;nan;0x0000027011B23608;True;m;21.30497620459239;False
