;T_DH_VL / C;P_max / MW;P_min / MW;c_1;c_0
0;70;26.97271630278374;10.824451022266356;3.251123206610953;-12.691623917313805
1;71;27.27307987833463;10.965820559362768;3.219425102225578;-12.80363797531382
2;72;27.57917577136674;11.103917347143234;3.1865964495470047;-12.88370359447002
3;73;27.889104873247113;11.238581124849395;3.1530539695516837;-12.93585282783502
4;74;28.205575431614015;11.372403860651206;3.1188418521535417;-12.968729120191483
5;75;28.530611849442845;11.536381494048381;3.0892837687900925;-13.139156100134059
6;76;28.85903059421569;11.699210865320328;3.059472700147044;-13.293416255711222
7;77;29.19165600005677;11.860797755115984;3.029278715341508;-13.429662186543197
8;78;29.536802387376607;12.021046918382082;2.99730149195864;-13.53070186337142
9;79;29.902687493627802;12.17988381938859;2.962285254917697;-13.58029024478546
10;80;30.273637295327948;12.343167072702313;2.9279767539923554;-13.64050625951623
11;81;30.657363999317464;12.523593299173344;2.8951507586661362;-13.757690641327855
12;82;31.045949177795904;12.703993848282956;2.862290255146646;-13.862517793383233
13;83;31.439507983079125;12.884318836569513;2.829397188326463;-13.954855489691468
14;84;31.846972874923903;13.06451829435398;2.795161823753867;-14.01744278211224
15;85;32.25934599929594;13.244542179477158;2.7610066607829116;-14.068269176556655
16;86;32.67773006802525;13.436593554688827;2.72852905355207;-14.162135894738952
17;87;33.107098252800384;13.632749197281214;2.6958539076365753;-14.251900195319948
18;88;33.54203131877298;13.829621245246894;2.6632968675153474;-14.332386941389743
19;89;33.98509605926929;14.027194124826574;2.6305370260085885;-14.399053516366436
20;90;34.439913635265476;14.225634174488555;2.5971739483402887;-14.446446476600983
21;91;34.92604875106191;14.431535131964928;2.561661182877743;-14.468703356890984
22;92;35.42329054456128;14.64232759862514;2.526350686278796;-14.491654377505583
23;93;35.9302047690943;14.854324777008177;2.4909991905302866;-14.502110995401353
24;94;36.445852950893055;15.06756147885401;2.45576219543388;-14.502347857145494
25;95;36.97644583500934;15.282056095900009;2.419980494097798;-14.482277661786384
26;96;37.515884281479686;15.5017478357176;2.3848312255785404;-14.469052289663892
27;97;38.07770537144243;15.723148591426181;2.3485144669444815;-14.426041932882129
28;98;38.6828811693682;15.945777427922087;2.309001207761606;-14.31881933976986
29;99;39.283341546453535;16.16991040121648;2.2714065977529514;-14.22844117039719
30;100;39.85200620384056;16.39583558862128;2.2382170074230254;-14.197438065363855
31;101;40.43045259012147;16.626272042609152;2.2054949505702086;-14.16915903678111
32;102;41.01910655900597;16.859276216566013;2.1730285045825326;-14.1356877852283
33;103;41.61922620252679;17.094561780861614;2.1407020743419967;-14.094363864257872
34;104;42.264356486409575;17.33176038305879;2.1056772340263565;-13.995093264206815
35;105;42.92412271822647;17.572291202253698;2.0708562995506927;-13.889689933726288
36;106;43.59773075085597;17.815987673127378;2.0363246907596335;-13.779135589058555
37;107;44.2859224817559;18.062075450206578;2.001994594341495;-13.660177413901792
38;108;44.99385011838311;18.310622187638742;1.9675280718008483;-13.526663166318684
39;109;45.746408272955726;18.562452445585134;1.9312862459531939;-13.349409099318791
40;110;46.53751579946094;18.818030623633497;1.8939745694044205;-13.140871447435458
41;111;47.34970093069889;19.076548001266367;1.856885227163582;-12.922960168828482
42;112;48.1648751684485;19.338170893342575;1.8212279662277515;-12.719217646646996
43;113;48.997479671109396;19.604667710532212;1.7861509837988656;-12.516896518216967
44;114;49.89684500003943;19.87724326245127;1.7488573119297475;-12.262462220544208
45;115;50.837257580394166;20.153811220530205;1.711020313176866;-11.983580386259035
46;116;51.81004065124134;20.43465239326437;1.6732860664011784;-11.693019121400766
47;117;52.818908936507796;20.723155379959987;1.635730406126874;-11.397495365892269
48;118;53.90351734556358;21.019037285672376;1.5964977978786292;-11.056846740104746
49;119;55.06937385441642;21.321482908271946;1.5556527690509756;-10.6688239265263
50;120;59.608536913807235;21.630402085167262;1.3823743645359023;-7.4013133371391575
51;121;61.24946473901573;21.952729267206035;1.335988839013407;-6.828601286870224
52;122;59.04506920482156;22.282865673761595;1.42809720194393;-9.32209811999138
53;123;60.63002263632117;22.622605060434292;1.3813093166663257;-8.748815137240655
54;124;62.36830555825886;22.979100424737226;1.3328524864118318;-8.127751136618201
55;125;64.40483804874265;23.352528782178222;1.2788561944007202;-7.364526088009725
