label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x0000022FA1ABC248'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-34239733.624128215;False;False;0.896399999999996;False;False;0x0000022FA1C58D88;True;m;0.10045349288608706;False;False;nan;True;7874.482325998065;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x0000022FA1AC16C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-19478380.31068064;False;False;0.8964599305205094;False;False;0x0000022FA1C58E08;True;m;0.09661006343911986;False;False;nan;True;6205.246294011396;False
