label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
superheater;heat_exchanger;[];[];[];[];[];['pr1', 'pr2', 'ttd_u'];['zeta1', 'zeta2', 'kA_char'];nan;False;False;-38712466.95744127;False;False;382465.32171119325;False;False;101.21824060868394;False;False;50.00000000000023;True;False;179.20691366643564;False;False;0.9899999999999999;True;False;0.9800000000000001;True;False;0.010719297592503257;False;False;9720.469919406358;False;False;nan;False;0x000002AED4307FC8;False;m;0x000002AED4330048;False;m;-44545.76139493716;False;54852.57327683611;False;10306.811881898953;False
evaporator;heat_exchanger;[];[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA_char'];nan;False;False;-40596056.48473432;False;False;559142.7415929113;False;False;72.60410171664292;False;False;179.20691366643564;False;False;20.00000000000034;True;False;0.9900000000000001;True;False;1.0;False;False;0.012785216228220975;False;False;0.0;False;False;nan;False;0x000002AED4330088;False;m;0x000002AED4330108;False;m;-57112.580173140865;False;67036.70053295257;False;9924.120359811706;False
economizer;heat_exchanger;[];[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA_char'];nan;False;False;-51386417.71599429;False;False;1445032.951745897;False;False;35.56072382564628;False;False;20.00000000000034;False;False;57.64123972837251;False;False;0.9900000000000001;True;False;1.0;True;False;0.01698964266281575;False;False;0.0;False;False;nan;False;0x000002AED4330148;False;m;0x000002AED4330188;False;m;-99315.61418664626;False;105460.84564494605;False;6145.231458299793;False
