label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;subcooling;subcooling_set
district heating condenser;Condenser;['heat output'];[None];[-189000000.0];['0x0000015313316E48'];['component'];['ttd_u', 'pr2'];['zeta2', 'kA_char'];nan;False;False;-189000000.0;False;False;10424251.281180508;False;False;18.130798548689288;False;False;5.0000000000103455;True;False;44.7271810591792;False;False;0.9900000000000001;True;False;0.98;True;False;0.14596800264457593;False;False;18.944036212905562;False;False;0x0000015313374608;False;m;0x0000015314B95288;False;m;False;True
condenser;Condenser;['heat cond'];[None];[-45503474.23350142];['0x000001531443AE08'];['component'];['ttd_u', 'pr2'];['zeta2', 'kA_char'];nan;False;False;-45503474.23350142;False;False;4228941.833337978;False;False;10.760014213197328;False;False;4.999999999789054;True;False;19.818399638667074;False;False;0.9900000000000002;True;False;0.98;True;False;0.01351163355630429;False;False;23.38017184889938;False;False;0x000001530ECEA248;False;m;0x000001530ECEAE48;False;m;False;True
