label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;flow_char;flow_char_set;flow_char_param
feed water pump 1;Pump;['power output'];[None];[605809.4304077354];['0x000001E2EB0D91C8'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;587635.1474955033;False;False;0.7999999999996006;True;False;158.36830161876;False;False;0x000001E2E9D99508;False;m;0x000001E2E9D12B48;False;v
feed water pump 2;Pump;['power output'];[None];[147444.20734362665];['0x000001E2EB0D91C8'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;143020.88112331784;False;False;0.8;True;False;2380.3980766011427;False;False;0x000001E2E9D992C8;False;m;0x000001E2EC90F088;False;v
