label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor;Compressor;['power output', 'gas turbine power output'];[None, None];[239522262.15418023, 239522262.15418023];['0x000001531314FD48', '0x0000015313316748'];['component', 'component'];['pr', 'eta_s'];['eta_s_char'];nan;False;False;239522262.15418023;False;False;0.8499999999999122;True;False;0x000001531443A688;False;m;15.000000000000002;True;False;0;False;False;0x000001531470A248;False;nan;default;0x000001531470ACC8;False;nan;default
fuel compressor;Compressor;['power output'];[None];[9457238.68787976];['0x0000015314C1EF88'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;9173521.527243366;False;False;0.8500000000000001;True;False;0x00000153130BCCC8;False;m;15.000000000000005;False;False;0;False;False;0x0000015310902908;False;nan;default;0x0000015310902B48;False;nan;default
