label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;flow_char;flow_char_set;flow_char_param;Sirr;Sirr_set
district heating pump;pump;['total compressor power'];[None];[3252.1255795468232];['0x00000241F0601E48'];['eta_s'];['eta_s_char'];nan;False;False;3252.1255795468232;False;False;0.8000000023040857;True;False;1.0203040506070808;False;False;0x00000241F0621F48;False;nan;0x00000241F0635188;False;nan;1.9523404550734578;False
evaporator reciculation pump;pump;['total compressor power'];[None];[135.38609023871297];['0x00000241F0601A88'];['eta_s'];['eta_s_char'];nan;False;False;135.38609023871297;False;False;0.8000000000123414;True;False;1.01010101010101;False;False;0x00000241F0635048;False;nan;0x00000241F0635308;False;nan;0.09912954898555218;False
