label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x000002279C140E48'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-48235598.46575121;False;False;0.8999999999999958;True;False;0x000002279C2D8C08;False;m;0.1;False;False;nan;False;10726.453404965054;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x000002279C140CC8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-26406555.614063047;False;False;0.8999999999999998;True;False;0x000002279C2D8C88;False;m;0.10887383095158842;False;False;nan;False;7821.036211904316;False
