;Q_BHKW_1;Q_EHK_1;Q_GuD_1;Q_ab_HP_1;Q_ab_LT-HP_1;Q_ab_LT-HP_2;Q_SLK_1;Q_HT_EC;Q_HT_TES;Q_demand;Q_LT_EC;Q_zu_LT-HP_1;Q_zu_LT-HP_2;Q_LT_TES;Q_Sol;Q_ab_TES_1;Status_ab_TES_1;Q_zu_TES_1;Status_zu_TES_1;Q_ab_TES_1;Status_ab_TES_1;Speicherstand_TES_1;P_BHKW_1;P_zu_EHK_1;P_zu_HP_1;Status_HP_1;P_zu_LT-HP_1;P_zu_LT-HP_2;P_spot_market;P_GuD_1;P_source;Q_HT_node;Q_zu_TES_1;Status_zu_TES_1;Q_LT_node
2016-01-01 12:00:00;74.6506540790437;0.0;75.07189041599196;69.79329682090484;0.0;0.0;5.48415868405948;0.0;0.0;225.00000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;-0.0;14384.641773891646;103.28079178875443;0.0;36.49017739;1.0;0.0;0.0;200.14164818385413;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 13:00:00;74.6506540790437;0.0;75.07189041599196;69.79329682090484;0.0;0.0;0.48415868405948004;0.0;0.0;220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14383.203309714258;103.28079178875443;0.0;36.49017739;1.0;0.0;0.0;200.14164818385413;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 14:00:00;0.0;2.1348127631031986;75.07189041599196;69.79329682090484;0.0;0.0;75.0;0.0;0.0;222.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;-0.0;14381.764989383286;0.0;2.1563765283870695;36.49017739;1.0;0.0;0.0;94.70447986671263;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 15:00:00;0.0;0.0;75.07189041599196;70.72233470491722;0.0;0.0;68.20577487909082;0.0;0.0;214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14380.326812884348;0.0;0.0;36.03446174;1.0;0.0;0.0;97.3165720450997;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 16:00:00;68.2057748790908;0.0;75.07189041599196;70.72233470491722;0.0;0.0;0.0;0.0;0.0;214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14378.88878020306;91.58110828490597;0.0;36.03446174;1.0;0.0;0.0;188.89768033000567;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 17:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;1.5551208000471206;0.0;0.0;222.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14377.450891325041;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 18:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;0.5551208000471206;0.0;0.0;221.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14376.013146235908;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 19:00:00;74.6506540790437;0.0;75.07189041599196;68.27745550496434;0.0;0.0;0.0;2.842170943040401e-14;0.0;217.99999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14374.575544921285;103.28079178875443;0.0;35.033700035545756;1.0;0.0;0.0;201.59812553830838;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-01 20:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;2.0551208000471206;0.0;8.5;214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;1.0;0.0;0.0;14381.638087366793;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0;8.5;8.5;1.0;0.0
2016-01-01 21:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;0.05512080004712061;0.0;8.5;212.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;1.0;0.0;0.0;14388.699923558057;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0;8.5;8.5;1.0;0.0
