label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
fan;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;12128.528721512108;False;False;0.6770983077422211;False;False;1.005;True;False;0;False;False;0x000001DAB59F8948;False;nan;0x000001DAB59FBEC8;True;m;13.156357352532654;False
compressor 1;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;7494.917013253167;False;False;0.7466886357506303;False;False;1.4808999009410824;False;False;0;False;False;0x000001DAB59F0448;False;nan;0x000001DAB5940F08;True;m;5.803098303514775;False
compressor 2;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;35047.43927535211;False;False;0.7466886357506232;False;False;4.999999999999999;True;False;0;False;False;0x000001DAB59F0A08;False;nan;0x000001DAB5940F08;True;m;19.5239604763394;False
