label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;subcooling;subcooling_set;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
preheater;condenser;[];[];[];[];[];['pr2', 'ttd_u', 'ttd_l'];['zeta2', 'kA_char'];nan;False;False;-15568572.950994533;False;False;nan;False;False;nan;False;False;-6.95690653535388;False;False;65.95378146748749;False;False;0.9900000000000005;True;False;0.9940960743254189;False;False;844.4495081841256;False;False;17547.15525029206;True;False;False;False;nan;True;0x0000022FA1C58288;False;m;0x0000022FA1C58DC8;False;m;-35697.53571589353;False;38719.048262799515;False;3021.512546905986;False
condenser;condenser;['heat'];[None];[-156053105.72938433];['0x0000022FA1AC9E08'];['component'];['pr2', 'ttd_u'];['zeta2', 'kA_char'];nan;False;False;-97531990.1052569;False;False;4853117.898390403;False;False;20.09676915897811;False;False;7.500480646236554;False;False;42.23188674732609;False;False;0.9900000000000025;True;False;0.9949132189476929;False;False;0.4113567809511876;False;False;13.86716811245127;True;False;False;False;nan;True;0x0000022FA1C588C8;False;m;0x0000022FA1C58F08;False;m;-266735.5175974361;False;286562.4635282166;False;19826.945930780494;False
