label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x0000022FA1ABC248'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-29392571.780651268;False;False;0.8933110989869519;False;False;0x0000022FA1C58D88;True;m;0.10087934336026604;False;False;nan;True;6962.92578320682;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x0000022FA1AC16C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-15132335.618083809;False;False;0.8942330774158693;False;False;0x0000022FA1C58E08;True;m;0.12569555934208326;False;False;nan;True;4894.845115086818;False
