label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
fan;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;3792481.09467284;False;False;0.49690379706442384;False;False;1.005;True;False;0;False;False;0x000001E5579D9608;False;nan;0x000001E5579DF208;True;m;6407.188348118475;False
compressor 1;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;730541.3913617623;False;False;0.7470522786217026;False;False;1.3602936778196684;False;False;0;False;False;0x000001E5579E0D08;False;nan;0x000001E57A70D9C8;True;m;575.5292614570786;False
compressor 2;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;4390915.229320458;False;False;0.7470522786216989;False;False;5.000000000000001;True;False;0;False;False;0x000001E5579E4988;False;nan;0x000001E57A70D9C8;True;m;2452.6377820953217;False
