label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
compressor;compressor;['power output', 'gas turbine power output'];[None, None];[82233130.16283938, 82233130.16283938];['0x0000014028499408', '0x0000014028668988'];['pr', 'eta_s'];['eta_s_char'];nan;False;False;82233130.16283938;False;False;0.849999999999997;True;False;15.0;True;False;0;False;False;0x0000014028700A88;False;nan;0x00000140284A3D08;False;m;18813.23654351041;False
fuel compressor;compressor;['power output'];[None];[3149466.7051600963];['0x0000014028644488'];['eta_s'];['eta_s_char'];nan;False;False;3149466.7051600963;False;False;0.8500000000023139;True;False;15.0;False;False;0;False;False;0x00000140287009C8;False;nan;0x000001402866CF48;False;m;892.665840620043;False
