label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x0000022FA1ABC248'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-39094928.56985683;False;False;0.8981999999999951;False;False;0x0000022FA1C58D88;True;m;0.0993958049054938;False;False;nan;True;8853.681275315574;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x0000022FA1AC16C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-22599357.024424776;False;False;0.8981444114136202;False;False;0x0000022FA1C58E08;True;m;0.08984723806509705;False;False;nan;True;7045.022196218414;False
