label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-69582.2720238837;False;False;19421.71898015279;True;False;3.5827040899412865;False;False;4.6823218286529595;False;False;2.6704069314515664;False;False;0.9990376707874293;False;False;0.9900000000000005;True;False;1.912520341671556;True;False;6344019.158847274;False;False;0x000001FA44A9F608;False;m;0x000001FA44A9F5C8;False;m;-224.8486442601433;False;237.26655166976101;False;12.417907409617726;False;nan;False
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2', 'ttd_u'];['zeta1', 'zeta2', 'kA'];nan;False;False;-1056.7944344699088;False;False;517.6624215324638;True;False;2.0414741161651713;False;False;0.6494052977913611;False;False;4.6823218286529595;False;False;0.9990407709385737;False;False;0.999146683693171;False;False;1.9034173507548526;True;False;803328.8165616528;True;False;0x000001FA44AAA488;False;m;0x000001FA44AAACC8;False;m;5.886643641896501;False;3.6110703625717595;False;9.49771400446826;False;nan;False
intercooler;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-4071.7142998217737;False;False;401.8745139413477;True;False;10.131805224195002;False;False;17.490923408298784;False;False;5.199150316742134;False;False;0.9950425603911627;False;False;0.9990625811439439;False;False;7336546.646096782;True;False;1736.2924543065146;True;False;0x000001FA44AF8808;False;m;0x000001FA44AF80C8;False;m;-12.906950223658795;False;13.88242768676665;False;0.9754774631078558;False;nan;False
