label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
fan;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;30294.310973849475;False;False;0.4969037970672274;False;False;1.005;True;False;0;False;False;0x000001FA44A6E248;False;nan;0x000001FA44AAA5C8;True;m;51.180573247247466;False
compressor 1;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;3991.079357960024;False;False;0.733717448636633;False;False;1.2858790031406502;False;False;0;False;False;0x000001FA44ABB448;False;nan;0x000001FA44A98E48;True;m;3.353124746743459;False
compressor 2;compressor;[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;29427.00833472037;False;False;0.7337174486366618;False;False;5.0;True;False;0;False;False;0x000001FA44AF8308;False;nan;0x000001FA44A98E48;True;m;17.37156946398103;False
