label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;subcooling;subcooling_set
district heating condenser;Condenser;['heat output'];[None];[-9999999.999999998];['0x000001E2EB009808'];['component'];['ttd_u', 'pr2'];['zeta2', 'kA_char'];cet_design_maxQ;False;True;-9999999.999999998;False;False;nan;False;False;nan;False;False;-11.150772473842153;False;False;28.603065537369105;False;False;0.9900000000000004;True;False;0.9996445106403181;False;False;15.721385507825346;False;False;120.30220756618223;True;False;0x000001E2E9D99B88;False;m;0x000001E2E9D12D08;False;m;False;True
condenser;Condenser;['heat cond'];[None];[-76104469.07869512];['0x000001E2EB009E48'];['component'];['ttd_u', 'pr2'];['zeta2', 'kA_char'];nan;False;False;-76104469.07869512;False;False;7072896.705280457;False;False;10.760014213395387;False;False;5.000000000025352;True;False;19.818399638668268;False;False;0.9900000000000001;True;False;0.98;True;False;0.00483862667992088;False;False;8.358271829791803;False;False;0x000001E2EC90F888;False;m;0x000001E2EC90F608;False;m;False;True
