label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;flow_char;flow_char_set;flow_char_param
feed water pump 1;Pump;['power output'];[None];[290895.49345802004];['0x000001C68748F108'];['bus'];['eta_s'];['eta_s_char'];cet_design_maxQ;False;True;268205.9015139609;False;False;0.23316593718921966;False;False;296.1307259649341;False;False;0x000001C6874A1E88;True;m;0x000001C6874E8408;False;v
feed water pump 2;Pump;['power output'];[None];[620366.2936365638];['0x000001C68748F108'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;601755.3048274668;False;False;0.7999999999990719;True;False;2380.3980766010704;False;False;0x000001C6874A10C8;False;m;0x000001C6874EA0C8;False;v
