label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor;Compressor;['power output', 'gas turbine power output'];[None, None];[95048500.53301077, 95048500.53301077];['0x000001E2EB0AB708', '0x000001E2E60B1B08'];['component', 'component'];['pr', 'eta_s'];['eta_s_char'];nan;False;False;95048500.53301077;False;False;0.849999999999997;True;False;0x000001E2E9D99F08;False;m;15.000000000000005;True;False;0;False;False;0x000001E2E9EBA308;False;nan;default;0x000001E2E9EBA908;False;nan;default
fuel compressor;Compressor;['power output'];[None];[3752871.855736192];['0x000001E2EB0D91C8'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;3640285.700064106;False;False;0.8500000000023139;True;False;0x000001E2E9D99408;False;m;15.000000000000005;False;False;0;False;False;0x000001E2E9EBA9C8;False;nan;default;0x000001E2E9EBA688;False;nan;default
