label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign
consumer feed flow;sink;[];[];[];[];[];[];nan;False;False
low temp sink;sink;[];[];[];[];[];[];nan;False;False
