;Q_in,BHKW;Q_in,SLK;P_out;P_in
2016-01-04 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 09:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 11:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 12:00:00;39.0;2.95493512326;17.9391912692;0.0
2016-01-04 13:00:00;39.0;2.87228265591;17.9391912692;0.0
2016-01-04 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 16:00:00;39.0;2.92891053322;17.9391912692;0.0
2016-01-04 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 18:00:00;39.0;3.1561832605;17.9391912692;0.0
2016-01-04 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-04 20:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-04 21:00:00;39.0;2.84794462413;17.9391912692;0.0
2016-01-04 22:00:00;39.0;1.8252173514;17.9391912692;0.0
2016-01-04 23:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-05 00:00:00;35.9143008969;0.0;16.3236978148;0.0
2016-01-05 01:00:00;36.4628314448;0.0;16.6108766615;0.0
2016-01-05 02:00:00;39.0;0.0;17.5288970579;0.0
2016-01-05 03:00:00;39.0;0.0;16.7208162498;0.0
2016-01-05 04:00:00;26.7007197585;2.40855267324;8.4696969697;0.0
2016-01-05 05:00:00;39.0;1.93885371504;17.9391912692;0.0
2016-01-05 06:00:00;39.0;2.50703553322;17.9391912692;0.0
2016-01-05 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 09:00:00;39.0;3.40909090909;17.9391912692;0.0
2016-01-05 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 11:00:00;39.0;0.826372914445;17.9391912692;0.0
2016-01-05 12:00:00;39.0;0.23985316981;17.9391912692;0.0
2016-01-05 13:00:00;39.0;1.84027652509;17.9391912692;0.0
2016-01-05 14:00:00;39.0;3.01839916959;17.9391912692;0.0
2016-01-05 15:00:00;39.0;2.41754689686;17.9391912692;0.0
2016-01-05 16:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 18:00:00;39.0;2.98572871504;17.9391912692;0.0
2016-01-05 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-05 20:00:00;39.0;1.88203553322;17.9391912692;0.0
2016-01-05 21:00:00;39.0;1.37067189686;17.9391912692;0.0
2016-01-05 22:00:00;39.0;0.802490078678;17.9391912692;0.0
2016-01-05 23:00:00;39.0;0.210160533223;17.9391912692;0.0
2016-01-06 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 01:00:00;39.0;0.60788780595;17.9391912692;0.0
2016-01-06 02:00:00;39.0;0.347944624132;17.9391912692;0.0
2016-01-06 03:00:00;39.0;0.0;17.3773819064;0.0
2016-01-06 04:00:00;39.0;1.14339916959;17.9391912692;0.0
2016-01-06 05:00:00;39.0;1.59794462413;17.9391912692;0.0
2016-01-06 06:00:00;39.0;2.4502173514;17.9391912692;0.0
2016-01-06 07:00:00;39.0;2.7343082605;17.9391912692;0.0
2016-01-06 08:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-06 09:00:00;39.0;3.30249007868;17.9391912692;0.0
2016-01-06 10:00:00;39.0;2.77413102908;17.9391912692;0.0
2016-01-06 11:00:00;39.0;1.00645890724;17.9391912692;0.0
2016-01-06 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 14:00:00;39.0;0.186918620662;17.9391912692;0.0
2016-01-06 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 16:00:00;39.0;2.8720923514;17.9391912692;0.0
2016-01-06 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-06 18:00:00;39.0;3.3593082605;17.9391912692;0.0
2016-01-06 19:00:00;39.0;3.3593082605;17.9391912692;0.0
2016-01-06 20:00:00;39.0;2.39339916959;17.9391912692;0.0
2016-01-06 21:00:00;39.0;0.518399169587;17.9391912692;0.0
2016-01-06 22:00:00;39.0;0.575217351405;17.9391912692;0.0
2016-01-06 23:00:00;39.0;0.664705987769;17.9391912692;0.0
2016-01-07 00:00:00;39.0;0.0397059877686;17.9391912692;0.0
2016-01-07 01:00:00;39.0;0.0;17.9391912692;0.0
2016-01-07 02:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-07 03:00:00;39.0;0.0;17.5288970579;0.0
2016-01-07 04:00:00;39.0;0.0;17.1248566538;0.0
2016-01-07 05:00:00;39.0;1.59794462413;17.9391912692;0.0
2016-01-07 06:00:00;39.0;1.50845598777;17.9391912692;0.0
2016-01-07 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-07 08:00:00;39.0;3.29822871504;17.9391912692;0.0
2016-01-07 09:00:00;39.0;0.0;17.9391912692;0.0
2016-01-07 10:00:00;39.0;2.87635371504;17.9391912692;0.0
2016-01-07 11:00:00;39.0;2.90476280595;17.9391912692;0.0
2016-01-07 12:00:00;39.0;2.66612644231;17.9391912692;0.0
2016-01-07 13:00:00;39.0;2.64339916959;17.9391912692;0.0
2016-01-07 14:00:00;39.0;2.50703553322;17.9391912692;0.0
2016-01-07 15:00:00;39.0;2.50703553322;17.9391912692;0.0
2016-01-07 16:00:00;39.0;3.01839916959;17.9391912692;0.0
2016-01-07 17:00:00;39.0;1.56527416959;17.9391912692;0.0
2016-01-07 18:00:00;39.0;0.13393093783;17.9391912692;0.0
2016-01-07 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-07 20:00:00;39.0;2.62067189686;17.9391912692;0.0
2016-01-07 21:00:00;39.0;1.65476280595;17.9391912692;0.0
2016-01-07 22:00:00;39.0;0.518399169587;17.9391912692;0.0
2016-01-07 23:00:00;37.9255795728;0.0;17.3766869195;0.0
2016-01-08 00:00:00;26.7007197585;0.0;8.55098348237;0.0
2016-01-08 01:00:00;26.7007197585;0.0;8.70249863389;0.0
2016-01-08 02:00:00;26.7007197585;0.192643582329;8.4696969697;0.0
2016-01-08 03:00:00;26.7007197585;0.306279945965;8.4696969697;0.0
2016-01-08 04:00:00;26.7007197585;0.47673449142;8.4696969697;0.0
2016-01-08 05:00:00;26.7007197585;1.10173449142;8.4696969697;0.0
2016-01-08 06:00:00;39.0;0.0;16.9228364518;0.0
2016-01-08 07:00:00;39.0;1.93885371504;17.9391912692;0.0
2016-01-08 08:00:00;39.0;1.54112644231;17.9391912692;0.0
2016-01-08 09:00:00;39.0;2.27976280595;17.9391912692;0.0
2016-01-08 10:00:00;39.0;1.42749007868;17.9391912692;0.0
2016-01-08 11:00:00;39.0;1.71158098777;17.9391912692;0.0
2016-01-08 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-08 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-08 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-08 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-08 16:00:00;39.0;2.27976280595;17.9391912692;0.0
2016-01-08 17:00:00;39.0;1.42749007868;17.9391912692;0.0
2016-01-08 18:00:00;39.0;1.42749007868;17.9391912692;0.0
2016-01-08 19:00:00;39.0;1.42749007868;17.9391912692;0.0
2016-01-08 20:00:00;39.0;1.42749007868;17.9391912692;0.0
2016-01-08 21:00:00;39.0;0.40476280595;17.9391912692;0.0
2016-01-08 22:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-08 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 01:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 02:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 03:00:00;32.257430577;0.0;14.4091721699;0.0
2016-01-09 04:00:00;34.4515527689;0.0;15.5578875568;0.0
2016-01-09 05:00:00;37.5598925408;0.0;17.185234355;0.0
2016-01-09 06:00:00;39.0;0.461580987769;17.9391912692;0.0
2016-01-09 07:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-09 08:00:00;39.0;0.802490078678;17.9391912692;0.0
2016-01-09 09:00:00;39.0;1.54112644231;17.9391912692;0.0
2016-01-09 10:00:00;39.0;2.33658098777;17.9391912692;0.0
2016-01-09 11:00:00;39.0;1.25703553322;17.9391912692;0.0
2016-01-09 12:00:00;39.0;0.859308260496;17.9391912692;0.0
2016-01-09 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 14:00:00;39.0;0.979339219484;17.9391912692;0.0
2016-01-09 15:00:00;39.0;1.0624332605;17.9391912692;0.0
2016-01-09 16:00:00;39.0;0.347944624132;17.9391912692;0.0
2016-01-09 17:00:00;39.0;0.00703553322315;17.9391912692;0.0
2016-01-09 18:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 19:00:00;39.0;0.551069624132;17.9391912692;0.0
2016-01-09 20:00:00;39.0;0.835160533223;17.9391912692;0.0
2016-01-09 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-09 23:00:00;32.440274093;0.0;14.5048984521;0.0
2016-01-10 00:00:00;26.7007197585;0.0;10.4196703511;0.0
2016-01-10 01:00:00;26.7007197585;0.0;10.8237107551;0.0
2016-01-10 02:00:00;26.7007197585;0.0;10.6721956036;0.0
2016-01-10 03:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-10 04:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-10 05:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-10 06:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-10 07:00:00;26.7007197585;0.0;8.65199358338;0.0
2016-01-10 08:00:00;26.7007197585;0.0;8.65199358338;0.0
2016-01-10 09:00:00;26.7007197585;0.704007218693;8.4696969697;0.0
