T_DH_VL / C;P_max / MW;P_min / MW;c_1;c_0
65;0.9020896651799557;0.3130107511058266;3.0473865248792684;-0.2538029192240474
66;0.8996250966957433;0.3141796622359103;3.0630252782421663;-0.2689021958376747
67;0.8991556915801666;0.3152339070947322;3.0674980596979093;-0.28026374560988465
68;0.8982774505968608;0.31732155936365886;3.079503089572312;-0.2972518177607473
69;0.8956427987870014;0.3193705843350101;3.1009741035280225;-0.31724772390218714
70;0.8971865247095263;0.3213562026817969;3.0992499844522303;-0.32973518744872976
71;0.9003619880697948;0.32330756916394177;3.088799785621895;-0.33946613869875497
72;0.9045055638303257;0.3251880162640034;3.0728906831616243;-0.3472242453607537
73;0.9092077044714262;0.32703368172991837;3.0535297291364314;-0.35373629187589106
74;0.914155022725467;0.3288306477291924;3.0327980812170505;-0.35962738482359313
75;0.9192879405587908;0.3305498572838177;3.01092760010157;-0.3648823949272537
76;0.9245570277350001;0.33231332122501933;2.9888221298181388;-0.3701655681088325
77;0.9301895256963089;0.3346262716797023;2.9674345140748444;-0.3772904546751641
78;0.9358775172034173;0.3369205140843863;2.945980658926745;-0.38435962348760366
79;0.9415983198962607;0.3391745782110214;2.924431768855738;-0.39126329619963496
80;0.9473445567580668;0.3413756529626106;2.9026949275834997;-0.39789347176217493
81;0.9531766260684057;0.34352355504035137;2.880486612041443;-0.4041541622170701
82;0.9592572831677005;0.34561801106935125;2.856723575530591;-0.40967052665728687
83;0.9653829453364222;0.34765869157425;2.8326346757547904;-0.4148628184054832
84;0.9715145090704035;0.34977147449061174;2.809081732984617;-0.4203878748111314
85;0.9776472600282775;0.3521781244200843;2.787049028697042;-0.42720859111149734
86;0.9838602899387312;0.35462662969897446;2.765016308709338;-0.4340803815296632
87;0.9901183895119642;0.35701503657870837;2.7426916445460825;-0.4406168611548278
88;0.9963779328867283;0.35934903764791204;2.7202954388103504;-0.4469149908292507
89;1.0027118587012418;0.36163253749989527;2.697314782210167;-0.4528033936269069
90;1.0090503668379085;0.36388604639649436;2.6744511686082686;-0.4586559327749038
91;1.01557539003951;0.36609529723591083;2.6506009196938605;-0.46397720998689485
92;1.0220966494998283;0.3682585489326641;2.6267674779473746;-0.46911677266979446
93;1.0286134859941138;0.3705145954059617;2.6035003521180586;-0.4746435130727882
94;1.0351257443242212;0.3729655701087447;2.5811705527212654;-0.4809574871303468
95;1.0416723565980608;0.37545654305679993;2.5589894287343333;-0.4873607024848363
96;1.0482704703221737;0.377913797068642;2.536603028433898;-0.4935318207846624
97;1.0548629214284668;0.38033763965435935;2.5142307713323886;-0.4995569469042116
98;1.0615469973686973;0.3827282546652211;2.4912243621395875;-0.5051920317514624
99;1.0682441439543613;0.38508572968734567;2.4681039770175257;-0.5106367674469889
100;1.075031961791175;0.38741007653325343;2.4446621467918948;-0.5158138780406816
101;1.0818277416660351;0.38973869192259125;2.421329909712439;-0.5209837282834213
102;1.088611827750806;0.3921754462173368;2.398522468009505;-0.5265606461772192
103;1.0953833816811744;0.39458394200464514;2.3757497425193197;-0.5320257185264774
104;1.102220467441457;0.396963998792818;2.3527419674905525;-0.5372759772284823
105;1.109247354472189;0.39931541131073073;2.3290939723228212;-0.5421520458097615
106;1.1162624247335446;0.40163795303329164;2.3054784431484014;-0.546923974786846
107;1.1232652520769102;0.40393137929819356;2.281884984658373;-0.5515924629875797
108;1.1302534924463727;0.40619542857031987;2.2583082651500983;-0.5561604929264812
109;1.1366470436011649;0.40842982293210073;2.236514540856203;-0.561354939042312
110;1.142791275381444;0.4107215237183644;2.215412816578073;-0.5669576122474693
111;1.1489419725963075;0.4129954363047615;2.1940310976271054;-0.5724007454914417
112;1.1550520008346334;0.41542879295750446;2.17315290808654;-0.5783857064134432
113;1.1611189913520177;0.41790181451905006;2.1523922975212404;-0.5844930960515198
114;1.1671409880075276;0.42034007272391616;2.1315095274724682;-0.5904687331096663
115;1.1731133862378016;0.4227430463734942;2.1104894215903567;-0.5963141743199889
116;1.1790324296955625;0.641781037246022;2.0703718511621685;-0.5797003140434607
117;1.1848937505849635;0.6451997106663971;2.049220451477187;-0.5854248720922413
118;1.1906926412315175;0.648584822127808;2.027867750700396;-0.5910370245847965
119;1.196424032876768;0.6519493313074546;2.006326826848518;-0.5965949851537535
120;1.2020788456640366;0.6553842237926646;1.984894798959669;-0.6025015117737933
121;1.207648161770617;0.6587837974992661;1.963130204009833;-0.6082885798505047
122;1.21312088433365;0.6621458924130912;1.9409675300118139;-0.6139488302118083
123;1.2184829232660281;0.665467692668646;1.9183231553190603;-0.6194711358762339
124;1.223715951914791;0.6687536338762256;1.895115514321438;-0.624872786340628
