T_DH_VL / C;COP
66;7.412357857284126
67;7.489040534755263
68;7.453165906180339
69;7.363516261742359
70;7.249483995270705
71;7.124362081427591
72;6.996118557298732
73;6.866956522866068
74;6.738069482309647
75;6.610337599675371
76;6.483624470585104
77;6.358705413969558
78;6.237750743528129
79;6.119254923550381
80;6.002183962476548
81;5.886585304877614
82;5.773386313362335
83;5.662163504059337
84;5.554559553721312
85;5.448598929562004
86;5.344706010626396
87;5.244005001486408
88;5.144602945841039
89;5.047055966678811
90;4.9523585535035535
91;4.857886964900327
92;4.766176146751377
93;4.676307121400104
94;4.586994601877391
95;4.500125625198505
96;4.414441541003078
97;4.330724040872689
98;4.248251613391634
99;4.16561971199145
100;4.084084336907797
101;4.012264153228078
102;3.943559122829976
103;3.876441883064128
104;3.8108325449141627
105;3.746653714382617
106;3.682872891489948
107;3.619860174247671
108;3.558072710758311
109;3.4974358685684095
110;3.4378783936035058
111;3.379328319877886
112;3.3216984319050056
113;3.264889148183507
114;3.2088198791341638
115;3.1515957476197696
116;3.0949892157381944
117;3.0388974261212303
118;2.9827468256198695
119;2.926666061803192
120;2.8707158330041223
121;2.812317606422999
122;2.7534622742770596
123;2.693945662456467
124;2.6333139725286836
