;CCET_P_max_woDH;CCET_eta_el_max;CCET_P_min_woDH;CCET_eta_el_min;CCET_H_L_FG_share_max;CCET_Q_CW_min;CCET_beta;CCET_Q_in
66;143.91341734203922;0.564431670733553;54.96511499639613;0.468748156661763;0.1606974236694675;9318074.573331818;0.13339003918998685;254.97048589602502
67;143.75619344748358;0.5638148903272665;54.897806450500575;0.4681741271346413;0.1609826483424699;9388709.092796832;0.13345061269631087;254.97055135248425
68;143.59908321128424;0.5631985669008328;54.8307380617776;0.4676021463591348;0.1612741182288363;9460603.887096629;0.1335566062881277;254.97061187758487
69;143.43753065986795;0.562564803522698;54.76378799608326;0.4670311746466307;0.1615655264094673;9532934.927896485;0.13364162424584122;254.97068028728998
70;143.27523107140073;0.5619281060483591;54.69684948629496;0.4664603015249842;0.16185564100896443;9605227.389353022;0.13371948079730173;254.97075075840857
71;143.11940045301628;0.5613168169471302;54.62982610963935;0.46588870495021056;0.16216010390994573;9676353.66747263;0.1338620048415242;254.9708046008829
72;142.9577685842765;0.5606827541661532;54.56246223211916;0.4653142048061017;0.1624657407243295;9748168.432057843;0.1339767146982519;254.97086814607513
73;142.79223422691544;0.5600333641629786;54.49537274657239;0.46474204517390416;0.16276958102073347;9820622.331827939;0.13407737671187664;254.97094166939786
74;142.62775209468927;0.5593880987194457;54.42851333759759;0.46417184799341504;0.16307473767325908;9893159.908441097;0.13419757270590896;254.97101640380535
75;142.46859979966712;0.5587637691642318;54.36179873848504;0.46360288599152855;0.16339321615883295;9964487.74374041;0.13437406893362958;254.9710766193088
76;142.31070496246693;0.55814438858658;54.29513781962005;0.4630343818619757;0.1637200335369502;10035035.573527575;0.134571016802522;254.97112910666038
77;142.1490105989679;0.5575100978323533;54.22857361669178;0.46246670265250195;0.16404688114049082;10105439.56296578;0.1347419401491338;254.97118554741044
78;141.9812958766684;0.5568521699660743;54.16224497249941;0.46190103277996347;0.16437018440453754;10176655.14431566;0.13488045469633403;254.9712536548407
79;141.81106647742072;0.5561843690739863;54.096174844417156;0.4613375680716401;0.16468969942151213;10248783.450014398;0.13501306710242755;254.97132670867336
80;141.63822009291056;0.5555062946911627;54.03025459831522;0.46077538176857535;0.16501185360182047;10320504.286843315;0.13513108010125074;254.97140436843333
81;141.47368561985056;0.5548608667688569;53.96448930207059;0.46021451703303484;0.16535325424875136;10390474.361510202;0.1353336341596394;254.97146058200107
82;141.30880581774727;0.5542140829461276;53.8986966763255;0.4596534191578887;0.16569538222380198;10460173.465930462;0.13553297390121422;254.9715176246851
83;141.14321530977236;0.5535645084663955;53.83297598289966;0.45909293480143604;0.1660383614263775;10529590.493238479;0.13572789504837973;254.97157630426477
84;140.97717767050995;0.5529131784037988;53.767461750997796;0.45853421150796053;0.1663823062355012;10598714.718103766;0.13592212484218041;254.97163601253993
85;140.81053430195826;0.552259469991342;53.70214870624183;0.4579772042501365;0.1667273212610938;10667535.817873016;0.13611456669808403;254.97169709768093
86;140.63710019303338;0.5515790999253924;53.636971358587765;0.4574213543593942;0.16707350372465601;10736043.669881418;0.13626028950462324;254.97177143234072
87;140.46256144681774;0.5508943930694755;53.57183430966457;0.4568658482690066;0.1674232484316709;10803640.48744154;0.1363946698872719;254.97184798739355
88;140.28965414852783;0.5502160939819647;53.507452642221374;0.4563167845491692;0.1677742357526355;10871483.383497685;0.13656105593184797;254.97192045626772
89;140.1200123520593;0.5495506206305377;53.4433030096956;0.45576970006016837;0.1681298416606215;10939324.400806323;0.13676921199150144;254.9719845485569
90;139.95042371827145;0.548885356112263;53.37928571235885;0.45522374424084355;0.16848690975274683;11006760.484591588;0.1369787109255325;254.97204864333733
91;139.78492756513734;0.5482361667234688;53.31541668035127;0.45467905293125405;0.16885423492423568;11073065.261144087;0.1372295991122066;254.9721015316472
92;139.61772899807667;0.5475803002196968;53.25160441706628;0.4541348458041281;0.16921834883336462;11139494.752581969;0.1374635135504132;254.97215466308793
93;139.44972706849438;0.5469212797206008;53.187874103202404;0.4535913375996607;0.16958336156270282;11205574.712719277;0.13769138329473318;254.97220941875477
94;139.2814502444737;0.546261180580866;53.124339661535785;0.4530494999968144;0.16994937872193283;11271273.99452208;0.1379184648624555;254.97226454270276
95;139.11309144328268;0.5456007601218752;53.061009386330994;0.45250940361887704;0.1703158428145637;11336756.55489935;0.13814989406560194;254.9723197090266
96;138.94469828105815;0.5449402056165114;52.9976500425542;0.4519690594231686;0.17068272361022085;11402045.098781884;0.1383837799895719;254.9723746734099
97;138.77660499096376;0.5442808277259111;52.9341269056148;0.45142731845749756;0.17105002292748017;11467127.988484591;0.13862052761175614;254.97242952832588
98;138.6087746317148;0.5436224814594752;52.87039572297599;0.4508838032927151;0.171417752420989;11531996.72301583;0.1388591481458878;254.97248432329135
99;138.4355632777931;0.5429430087214604;52.8065117518216;0.4503389852095356;0.1717859403210824;11596645.942738548;0.13906000320573775;254.9725497042233
100;138.26639226121478;0.5422794072704438;52.74257679628963;0.44979373259131844;0.1721660310424904;11660068.226399824;0.13930551854205772;254.97260343551827
101;138.10605077683442;0.5416504424387425;52.678460194811414;0.44924693093266593;0.1725485083245536;11723086.658770323;0.13961651790940796;254.97265386698805
102;137.95081014885807;0.5410414844068576;52.61410807151076;0.448698120741477;0.17293118742299174;11785889.66479598;0.13996293879324206;254.97270380309777
103;137.79652736785712;0.5404362837636842;52.54960636083861;0.4481480348787289;0.17331408343888788;11848473.411709324;0.1403162489021833;254.97275350984984
