;P_max_woDH;eta_el_max;P_min_woDH;eta_el_min;H_L_FG_share_max;H_L_FG_share_min;Q_in
65;106.44348450270932;0.470011631544653;52.941966970962355;0.42623190661676424;0.924912636740197;0.7416039132738461;227.04146885721755
66;106.43362464228063;0.4697590969064885;52.93942268694293;0.42612630256484174;0.9248021389815703;0.7416357890732588;227.04146885721755
67;106.42609076337754;0.46956192858820894;52.937437488324726;0.42604724600204935;0.9246082342673795;0.7416602941555532;227.04146885721755
68;106.42020860044524;0.46936968760447667;52.935837751790224;0.4259865946399768;0.9240949756476227;0.7416796116372445;227.04146885721755
69;106.41552109612009;0.4692262687340468;52.93451451534527;0.4259390574843086;0.9235321572686084;0.7416951862561805;227.04146885721755
70;106.41149837587395;0.4691149451361351;52.933420027891366;0.4259012781373679;0.9229321699936075;0.7417083769526489;227.04146885721755
71;106.40830704079336;0.46902851540448864;52.93251872651473;0.42587084448545137;0.9223108864494498;0.7417189598454981;227.04146885721755
72;106.40579981224391;0.4689608118208718;52.9317560931322;0.42584587120034;0.9216738585047548;0.7417274785204347;227.04146885721755
73;106.40378795154562;0.46890690090261544;52.931136730247296;0.42582539589207924;0.9210224060924661;0.7417343301157905;227.04146885721755
74;106.40215134579918;0.46886340314766595;52.93060689527511;0.4258082273534128;0.9203652720282316;0.7417399952731021;227.04146885721755
75;106.40076504816848;0.46882774376377173;52.930178665098374;0.4257929908926702;0.9197029635546735;0.7417447005879662;227.04146885721755
76;106.39956316792797;0.46879812716813707;52.929783965163764;0.4257801814308064;0.919041983083848;0.7417488649277273;227.04146885721755
77;106.39852216026517;0.4687733741454789;52.929476787905585;0.42576981034747163;0.9183753365233291;0.7417523230134917;227.04146885721755
78;106.39760148564532;0.46875242292478875;52.92920957027608;0.42576116370941;0.9177089850591502;0.741755355396566;227.04146885721755
79;106.39678714011839;0.4687345476916909;52.928957503215685;0.42575378382036333;0.9170427173364833;0.7417580926858106;227.04146885721755
80;106.39607327180705;0.4687192626001822;52.92872031236704;0.4257474393145606;0.916372685490485;0.7417605488714554;227.04146885721755
81;106.39543905282588;0.46870603738764743;52.92857755207743;0.42574214765189733;0.9157087815998631;0.7417624498946612;227.04146885721755
82;106.39488963813714;0.468694597692441;52.928432100297535;0.4257373727543381;0.9150465509626655;0.7417641749773354;227.04146885721755
83;106.39438608313964;0.46868456951500304;52.9282865826114;0.42573306880154926;0.9143790682712727;0.7417657993258027;227.04146885721755
84;106.39395707445794;0.4686757950321405;52.928142809339086;0.42572915196294836;0.913715033087155;0.7417672524847289;227.04146885721755
85;106.39356650205738;0.4686680811222127;52.92800412577596;0.4257255769103899;0.9130508374539765;0.7417686005235966;227.04146885721755
86;106.393212996642;0.4686612147195216;52.92787018013745;0.42572230161293595;0.9123942049929323;0.7417698478724228;227.04146885721755
87;106.3929222761492;0.4686551717582754;52.92782233609382;0.4257196728468233;0.9117381556922612;0.741770610691312;227.04146885721755
88;106.39264656837429;0.46864944309908896;52.9277750638019;0.4257172699491031;0.911079525249258;0.7417713381427564;227.04146885721755
89;106.39238546815427;0.4686442635861632;52.927721001309145;0.42571509318868234;0.9104279819380965;0.7417720607247569;227.04146885721755
90;106.3921582199745;0.4686397374689305;52.92766193754867;0.4257130498988504;0.909783425070118;0.7417727288619326;227.04146885721755
91;106.39197409629729;0.46863584436425526;52.927599280245545;0.4257111700721814;0.9091372697147637;0.741773316472729;227.04146885721755
92;106.3917973664233;0.46863237512750283;52.927534138567964;0.4257094651398363;0.908497871612519;0.741773897784007;227.04146885721755
93;106.39162741300579;0.46862927892789535;52.927467386905846;0.4257078569321239;0.9078559037842595;0.7417744706387844;227.04146885721755
94;106.39146312241547;0.46862649219265284;52.927399714237545;0.42570636478355467;0.9072174944024299;0.7417750347186554;227.04146885721755
95;106.39130463906324;0.46862399253991927;52.92733166270503;0.4257050643843746;0.9065741308194833;0.7417755875251917;227.04146885721755
96;106.39119818476972;0.4686218053421811;52.92726409091557;0.4257038100105103;0.9059365738560291;0.741776023813689;227.04146885721755
97;106.39110249734128;0.4686198072061576;52.92719802820331;0.42570260513303837;0.90530527676847;0.7417764303137035;227.04146885721755
98;106.39100586501851;0.4686179521645315;52.92713260227654;0.42570144515284825;0.9046801592767774;0.7417768363252635;227.04146885721755
99;106.39090904776941;0.46861621250949415;52.927097633348524;0.42570062594252145;0.9040609719267307;0.7417771202530825;227.04146885721755
100;106.39081264051232;0.4686145991995612;52.92713531065991;0.4257001259458274;0.9034334261423729;0.7417771111235235;227.04146885721755
101;106.39071710585941;0.4686130838878656;52.92716412394776;0.4256996162949299;0.9027989784640447;0.7417771357098086;227.04146885721755
102;106.39062352938004;0.4686116580502696;52.927185238977394;0.42569909222395175;0.9021695234530063;0.7417771869329723;227.04146885721755
103;106.39053280614968;0.46861032257494;52.9271996600065;0.4256985581265844;0.9015455997639574;0.7417772587830689;227.04146885721755
104;106.39044375243482;0.46860906447700285;52.92720825438755;0.42569801803038976;0.9009271413509181;0.7417773503788261;227.04146885721755
105;106.39039332422232;0.4686079591103929;52.92721177310554;0.425697628864905;0.9003139232159333;0.7417773773140472;227.04146885721755
106;106.39036576845996;0.46860698972169734;52.927210867892214;0.42569727746074865;0.8996985185396493;0.7417773716596838;227.04146885721755
107;106.39033438069715;0.4686060645758905;52.927206105599915;0.4256969058438507;0.8990859035833221;0.7417773899456488;227.04146885721755
108;106.39029982829555;0.46860519310966553;52.92719798027239;0.4256965184383513;0.8984784298694531;0.7417774287153338;227.04146885721755
