;P_max_woDH;eta_el_max;P_min_woDH;eta_el_min;H_L_FG_share_max;H_L_FG_share_min;Q_in
65;5.647979929601868;0.4631495015898021;3.024021642089064;0.4262051134479299;0.17672115374835917;0.3616713230881097;12.956499822785299
66;5.645569330216643;0.462951825975208;3.023324262675111;0.4261068249078933;0.17747106790397493;0.361711711636187;12.956499822785299
67;5.6436301822576125;0.46279281064195105;3.022796691297765;0.4260324690846398;0.17838455674697756;0.36174442892878145;12.956499822785299
68;5.642128445422229;0.46266966419392963;3.0223907169670996;0.4259752511291696;0.17933679302041516;0.36177175824544244;12.956499822785299
69;5.640986131254361;0.46257599136858296;3.0220700790442923;0.4259300604730037;0.18023240782137961;0.36179519828222656;12.956499822785299
70;5.640095584871118;0.4625029641767936;3.021815208584948;0.42589413907233403;0.18108349753196734;0.36181624314792743;12.956499822785299
71;5.639395033843227;0.4624455171136932;3.0216088231391596;0.42586505114150963;0.18190198246497358;0.36183449418531155;12.956499822785299
72;5.638837016880866;0.46239975822622875;3.0214388951910474;0.4258411015244186;0.18269427369977742;0.3618506096463448;12.956499822785299
73;5.638387223431258;0.46236287395705694;3.021299047931742;0.42582139147466636;0.18346862379112283;0.36186499598445404;12.956499822785299
74;5.638018077044013;0.46233260296328615;3.0211817007279596;0.4258048525790431;0.18422415190827635;0.3618781844733048;12.956499822785299
75;5.6377119129743996;0.462307496688474;3.021082372955368;0.42579085333909167;0.18496758693523413;0.3618903700165048;12.956499822785299
76;5.63745706624049;0.4622865985728179;3.020999467804601;0.4257791687007622;0.18569636538549078;0.36190199104342147;12.956499822785299
77;5.637241997093408;0.46226896232596154;3.0209296184549905;0.4257693241449031;0.18641934205572058;0.3619129229780233;12.956499822785299
78;5.6370592917112825;0.46225397999462825;3.020870258276422;0.4257609579310873;0.18713165199570037;0.36192338238091304;12.956499822785299
79;5.636900819484907;0.4622409848470575;3.0208189272829644;0.4257537233493021;0.1878351256873525;0.3619335368364122;12.956499822785299
80;5.636764443838603;0.4622298016783128;3.020774006663664;0.4257473922445975;0.18853374590612398;0.3619433956805785;12.956499822785299
81;5.636646543340518;0.4622201335212724;3.020734992731265;0.4257418936273744;0.1892271496251406;0.36195270913511757;12.956499822785299
82;5.636544058943207;0.46221172952583917;3.0207002549579998;0.4257369976913172;0.18991166038372453;0.36196181989278087;12.956499822785299
83;5.636452780109443;0.4622042444166691;3.020669023639522;0.42573259595442164;0.19059787769937936;0.36197081721974456;12.956499822785299
84;5.636372773321937;0.46219768364552216;3.020641470420858;0.4257287126083096;0.19128204913753838;0.36197963375637193;12.956499822785299
85;5.636302349992717;0.46219190874365784;3.0206173461128434;0.42572531253230117;0.19195646796906868;0.36198835270975543;12.956499822785299
86;5.636240488531801;0.46218683593795595;3.0205951529315698;0.42572218462897826;0.19262705736844982;0.3619969462255238;12.956499822785299
87;5.636183810878593;0.46218218821838863;3.020575656577634;0.42571943681605756;0.19329593319429955;0.36200511709759847;12.956499822785299
88;5.636133694861868;0.4621780785706106;3.020557818433884;0.4257169227110078;0.19396034945721452;0.3620132026852656;12.956499822785299
89;5.636089595111214;0.4621744622727855;3.02054204720555;0.4257146999166774;0.19461932715625718;0.3620212822486823;12.956499822785299
90;5.636050288851584;0.46217123905408014;3.0205276736919777;0.4257126741160358;0.19527532892200966;0.36202927260505785;12.956499822785299
91;5.636015150670578;0.4621683576290002;3.020514530080222;0.4257108216575542;0.19592338679756194;0.3620372121958558;12.956499822785299
92;5.635983355718784;0.46216575035768204;3.02050323134998;0.42570922921637006;0.19656369036185256;0.3620451473248537;12.956499822785299
93;5.635954796016145;0.4621634083854704;3.020492969931358;0.42570778297371514;0.19721107773842295;0.36205307647286766;12.956499822785299
94;5.635928868350603;0.46216128224736025;3.0204834267273446;0.4257064379561093;0.1978607443117001;0.36206099664617186;12.956499822785299
95;5.635905108607598;0.4621593338847132;3.0204744561023986;0.42570517363770316;0.19850349356865443;0.3620688918403371;12.956499822785299
96;5.635883529689216;0.46215756435553323;3.020466742799934;0.42570408652612085;0.1991396034509435;0.36207665332539146;12.956499822785299
97;5.63586333469952;0.46215590831221703;3.020459694688912;0.42570309316651134;0.19976919692123352;0.3620844125998582;12.956499822785299
98;5.635844770345821;0.46215438598542585;3.020452780326201;0.42570211865736673;0.20040137232522182;0.36209217186289705;12.956499822785299
99;5.635828264774609;0.46215303248432005;3.020446674272711;0.425701258071191;0.2010325620375913;0.3620998786898072;12.956499822785299
100;5.635812678362765;0.46215175435674744;3.0204409180059484;0.4257004467838991;0.20165770500693897;0.36210721806096;12.956499822785299
101;5.63579799936984;0.46215055063995997;3.0204356911679;0.4256997101142032;0.20228950904048015;0.3621145921752048;12.956499822785299
102;5.635784420227791;0.4621494371138933;3.020430762991801;0.42569901553787337;0.2029162363680534;0.3621219969592231;12.956499822785299
103;5.635771579728063;0.4621483841584792;3.0204260377747096;0.42569834956655284;0.20353736602009892;0.3621294270508847;12.956499822785299
104;5.635759493872255;0.46214739308588976;3.020421401118519;0.4256976960769911;0.2041584209245526;0.36213687794327815;12.956499822785299
105;5.635749013592784;0.462146533674866;3.020417554714072;0.42569715396538016;0.20477829081926774;0.36214420361028965;12.956499822785299
106;5.635739204325433;0.4621457292886357;3.0204145128297886;0.42569672524270896;0.20539281753231792;0.36215155567860674;12.956499822785299
107;5.635730120835808;0.46214498441812485;3.020411420411923;0.42569628939784304;0.20600211464328083;0.3621589331745351;12.956499822785299
108;5.635721973671172;0.4621443163287753;3.0204084581131165;0.4256958718919359;0.20660628697789624;0.3621663325998874;12.956499822785299
109;5.635714443716491;0.4621436988522968;3.020405743677879;0.4256954893198795;0.20720540498801582;0.3621737509363105;12.956499822785299
110;5.635707305266202;0.46214311348022835;3.02040295163631;0.4256950958099994;0.20779949311143892;0.3621811855753502;12.956499822785299
111;5.635700367962242;0.46214254460269844;3.0204001189951457;0.42569469657801906;0.208388667017734;0.3621886342600712;12.956499822785299
112;5.635693618963507;0.46214199116670196;3.0203983727018686;0.42569445045573145;0.2089929791632354;0.36219609503515326;12.956499822785299
113;5.635687064601235;0.4621414536914175;3.0203965549539054;0.4256941942626321;0.20960462998722101;0.362203566204874;12.956499822785299
114;5.635681042928709;0.4621409598981208;3.020394631666042;0.4256939231947567;0.21021175580705564;0.3622110462973867;12.956499822785299
115;5.635675840623278;0.4621405332951233;3.020392938306771;0.4256936845329792;0.21081424568762452;0.36221853403431103;12.956499822785299
116;5.635671102158484;0.4621401447283021;3.0203912895156293;0.42569345215262655;0.21141228990204824;0.3622260283048361;12.956499822785299
117;5.635666524756015;0.4621397693690235;3.020389898011709;0.4256932560342926;0.21200601642467504;0.3622335281431067;12.956499822785299
118;5.635661984349269;0.4621393970434933;3.020388704303551;0.4256930877932609;0.2125954735252707;0.36224103270955943;12.956499822785299
119;5.635657499088784;0.4621390292401038;3.0203873959890037;0.42569290339962346;0.21318071039738246;0.362248545347088;12.956499822785299
120;5.635653274604098;0.4621386828210306;3.020385986677647;0.4256927047715124;0.21376172683173267;0.36225606114186165;12.956499822785299
121;5.635649221938011;0.4621383504915426;3.02038449076222;0.42569249393743797;0.2143385964314124;0.36226357973449114;12.956499822785299
122;5.635645387642101;0.4621380360689939;3.0203832312372536;0.425692316420196;0.21491160119067815;0.3622711006738347;12.956499822785299
123;5.635641992613275;0.4621377576675258;3.020382211778342;0.42569217273782456;0.21549576506740337;0.36227858095177945;12.956499822785299
124;5.635639111578778;0.4621375214149704;3.020381096333191;0.42569201552716823;0.21607600111779357;0.3622859405455268;12.956499822785299
