solar_data;heat_demand;el_spot_price;ambient_temperature;el_price;cop_lthp;P_max_hp;P_min_hp;c_1_hp;c_0_hp
0;342;33.24;-4.652;118.75;2.982746826;39.92297726;21.71392008;2.025656815;-19.76597197
0;325;35.09;-4.057;120.6;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;316;35;-3.699;120.51;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;323;35;-3.662;120.51;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;340;34.94;-3.951;120.45;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;328;34.92;-4.204;120.43;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;324;38;-4.208;123.51;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;328;41.21;-4.227;126.72;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;328;42.95;-4.32;128.46;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;323;41.96;-4.454;127.47;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;321;34.94;-4.526;120.45;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;313;30.66;-4.517;116.17;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;295;30;-4.533;115.51;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;265;23.9;-4.597;109.41;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;246;25.03;-4.674;110.54;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;249;24.42;-4.718;109.93;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;271;22.34;-4.747;107.85;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;287;21.5;-4.73;107.01;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;298;20;-4.708;105.51;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;297;23.53;-4.71;109.04;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;307;28.96;-4.716;114.47;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;328;38.32;-4.714;123.83;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;341;41.45;-4.434;126.96;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;347;40.72;-3.789;126.23;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
0;343;40.66;-3.069;126.17;3.038897426;39.72727209;21.60003476;2.046866419;-19.57656252
6.86E-05;313;40.33;-2.528;125.84;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0.000165249;318;38.25;-2.242;123.76;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
3.26E-05;315;36.98;-2.252;122.49;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;316;34.91;-2.598;120.42;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;315;33.5;-2.915;119.01;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;338;35.1;-2.951;120.61;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;334;42.44;-2.937;127.95;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;325;42.94;-2.954;128.45;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
