label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set;Sirr;Sirr_set
high pressure turbine;turbine;['power'];[None];[-48235598.46575121];['0x000002DCE864D348'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-50503819.215150535;False;False;0.8995499999999917;False;False;0x000002DCE87E6F88;True;m;0.0997122608330004;False;False;nan;True;11299.0637982282;False
low pressure turbine;turbine;['power'];[None];[-26406555.614063047];['0x000002DCE86547C8'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-27845790.130246434;False;False;0.8995745782049249;False;False;0x000002DCE87F6048;True;m;0.10647817425643594;False;False;nan;True;8272.533981468821;False
