label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;subcooling;subcooling_set;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
preheater;condenser;[];[];[];[];[];['pr2', 'ttd_u', 'ttd_l'];['zeta2', 'kA_char'];nan;False;False;-26992411.028128583;False;False;991510.5663513244;False;False;27.223523323062896;False;False;5.496554874655146;False;False;77.55279519889001;False;False;0.9900000000000002;True;False;0.989479433001223;False;False;749.0739213140398;False;False;17564.040979701585;True;False;False;False;nan;True;0x000002DCE87E6408;False;m;0x000002DCE87E6FC8;False;m;-59105.71323463893;False;65483.9628251451;False;6378.249590506166;False
condenser;condenser;['heat'];[None];[-156053105.72938433];['0x000002DCE865BEC8'];['component'];['pr2', 'ttd_u'];['zeta2', 'kA_char'];nan;False;False;-162950427.42490083;False;False;5834944.890122135;False;False;27.926643780433373;False;False;12.624647787073684;False;False;52.33871826263589;False;False;0.9900000000000004;True;False;0.9890964004053157;False;False;0.28275778489230624;False;False;13.895125036460366;True;False;False;False;nan;True;0x000002DCE87F60C8;False;m;0x000002DCE87F6088;False;m;-433638.5298498488;False;475410.70577650954;False;41772.17592666071;False
