label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor 1;Compressor;['total compressor power'];[None];[582210.8849346661];['0x000001BD491A4448'];['component'];['eta_s'];['eta_s_char'];nan;False;False;582210.8849346661;False;False;0.8999999999999975;True;False;0x000001BD49832E88;False;m;4.659735710881212;False;False;0;False;False;0x000001BD49832D88;False;nan;default;0x000001BD49832CC8;False;nan;default
compressor 2;Compressor;['total compressor power'];[None];[405376.6817066387];['0x000001BD4B34E7C8'];['component'];['eta_s'];['eta_s_char'];nan;False;False;405376.6817066387;False;False;0.9000000000000059;True;False;0x000001BD498325C8;False;m;3.0;True;False;0;False;False;0x000001BD49832848;False;nan;default;0x000001BD49832F88;False;nan;default
