label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param
evaporator;HeatExchanger;[];[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA_char'];nan;False;False;-1725889.0596942408;False;False;255061.67416474203;False;False;6.766555835352609;False;False;8.907026812503602;False;False;5.0000000000001705;True;False;0.9799999999999999;True;False;0.9900000000000001;True;False;227.82443716425573;False;False;8901.549228761827;False;False;0x000001BD48FCAD08;False;m;0x000001BD48FCA308;False;m
superheater;HeatExchanger;[];[];[];[];[];['pr1', 'pr2', 'ttd_u'];['zeta1', 'zeta2', 'kA'];nan;False;False;-41923.072451450964;False;False;9066.160408454396;False;False;4.624126483837277;False;False;2.0000000001732587;True;False;8.907026812503545;False;False;0.98;True;False;0.9899999999999998;True;False;232.45974967239172;False;False;3350.2436866101943;False;False;0x000001BD3E9D8B48;False;m;0x000001BD49832E08;False;m
intercooler;HeatExchanger;[];[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA_char'];nan;False;False;-515422.4158140933;False;False;6706.594907073584;False;False;76.85307118676076;False;False;122.66052389828332;False;False;44.177112944457974;False;False;0.9900000000000002;True;False;0.98;True;False;56517.82753262256;False;False;680.6328592411112;False;False;0x000001BD49832308;False;m;0x000001BD49832F08;False;m
