label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map;char_map_set;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_param;Sirr;Sirr_set
compressor 1;compressor;['total compressor power'];[None];[2601333.639758637];['0x000002198C94B188'];['eta_s'];['eta_s_char'];nan;False;False;2601333.639758637;False;False;0.9000000000000032;True;False;4.658428720080032;False;False;0;False;False;0x000002198C42A588;False;nan;0x000002198C42AF48;False;m;648.6038440662558;False
compressor 2;compressor;['total compressor power'];[None];[1810280.2222674554];['0x000002198C991608'];['eta_s'];['eta_s_char'];nan;False;False;1810280.2222674554;False;False;0.9000000000000026;True;False;3.0;True;False;0;False;False;0x000002198C42AAC8;False;nan;0x000002198C7AE548;False;m;430.59944442889156;False
