label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;num_out;num_out_set
flue gas splitter;splitter;[];[];[];[];[];[];nan;False;False;2;True
cooling water splitter;splitter;[];[];[];[];[];[];nan;False;False;2;True
